Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.61,0.43946313403469417
100% Corpus,9,0.31,0.9099999999999999,0.5091000184765619
100% Corpus,9,0.31,symmetric,0.5091499547858558
100% Corpus,9,0.61,0.01,0.4608591862625725
100% Corpus,9,0.61,0.31,0.5097692170854322
100% Corpus,9,0.61,0.61,0.49140228148066634
100% Corpus,9,0.61,0.9099999999999999,0.4560370721565512
100% Corpus,9,0.61,symmetric,0.5216586559260785
100% Corpus,9,0.9099999999999999,0.01,0.46167759969578664
100% Corpus,9,0.9099999999999999,0.31,0.5216538132250661
100% Corpus,9,0.9099999999999999,0.61,0.514899906116626
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4915444807310227
100% Corpus,9,0.9099999999999999,symmetric,0.5148341058865341
100% Corpus,9,symmetric,0.01,0.49891895922599594
100% Corpus,9,symmetric,0.31,0.45940433688978377
100% Corpus,9,symmetric,0.61,0.44931253573203667
100% Corpus,9,symmetric,0.9099999999999999,0.4921127555410434
100% Corpus,9,symmetric,symmetric,0.5024030427491099
100% Corpus,9,asymmetric,0.01,0.480347216324787
100% Corpus,9,asymmetric,0.31,0.4468525355415374
100% Corpus,9,asymmetric,0.61,0.524878022674376
100% Corpus,9,asymmetric,0.9099999999999999,0.538957332178571
100% Corpus,9,asymmetric,symmetric,0.4964717049651422
100% Corpus,10,0.01,0.01,0.46406298861200523
100% Corpus,10,0.01,0.31,0.4700695653679343
100% Corpus,10,0.01,0.61,0.4796808967108303
100% Corpus,10,0.01,0.9099999999999999,0.44401984543770634
100% Corpus,10,0.01,symmetric,0.4843916710060768
100% Corpus,10,0.31,0.01,0.4273721536682215
100% Corpus,10,0.31,0.31,0.45170765593640194
100% Corpus,10,0.31,0.61,0.4803295099558763
100% Corpus,10,0.31,0.9099999999999999,0.4943002099844155
100% Corpus,10,0.31,symmetric,0.43984477389312293
100% Corpus,10,0.61,0.01,0.45254137780039194
100% Corpus,10,0.61,0.31,0.5093947619026113
100% Corpus,10,0.61,0.61,0.4927711640778626
100% Corpus,10,0.61,0.9099999999999999,0.46288432077087266
100% Corpus,10,0.61,symmetric,0.5065144867085862
100% Corpus,10,0.9099999999999999,0.01,0.47690971565276874
100% Corpus,10,0.9099999999999999,0.31,0.49040890398397385
100% Corpus,10,0.9099999999999999,0.61,0.5038879378712411
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.48632990036239737
100% Corpus,10,0.9099999999999999,symmetric,0.5038649580544202
100% Corpus,10,symmetric,0.01,0.4504725559112056
100% Corpus,10,symmetric,0.31,0.4926507835322657
100% Corpus,10,symmetric,0.61,0.45963664892038614
100% Corpus,10,symmetric,0.9099999999999999,0.5115382584079173
100% Corpus,10,symmetric,symmetric,0.46885543684334774
100% Corpus,10,asymmetric,0.01,0.49345663366705744
100% Corpus,10,asymmetric,0.31,0.47211960587201107
100% Corpus,10,asymmetric,0.61,0.5197666848033732
100% Corpus,10,asymmetric,0.9099999999999999,0.5193810408751004
100% Corpus,10,asymmetric,symmetric,0.4675783312445467
